,metros_cubiertos,dormitorios,antiguedad,ambientes,precio
0,115.0,2.0,14.0,3.0,320000.0
1,290.0,3.0,40.0,4.0,395000.0
2,135.0,3.0,40.0,5.0,285000.0
3,145.0,3.0,30.0,4.0,350000.0
4,55.0,2.0,30.0,3.0,115000.0
5,45.0,0.0,0.0,1.0,113000.0
6,95.0,2.0,40.0,3.0,200000.0
7,407.0,4.0,26.0,5.0,1950000.0
8,106.0,3.0,15.0,4.0,330000.0
9,290.0,3.0,40.0,4.0,395000.0
10,140.0,2.0,8.0,3.0,445000.0
11,145.0,3.0,30.0,4.0,350000.0
12,86.0,3.0,47.0,4.0,170000.0
13,140.0,3.0,8.0,4.0,445000.0
14,78.0,2.0,40.0,3.0,179000.0
15,112.0,2.0,0.0,3.0,139000.0
16,36.0,0.0,6.0,1.0,99000.0
17,28.0,0.0,12.0,1.0,69000.0
18,137.0,3.0,43.0,4.0,339000.0
19,50.0,1.0,8.0,2.0,140000.0
20,82.0,2.0,0.0,3.0,338000.0
21,173.0,3.0,25.0,4.0,445000.0
22,30.0,0.0,6.0,1.0,77000.0
23,0.0,2.0,0.0,3.0,0.0
24,112.0,0.0,40.0,1.0,290000.0
25,66.0,1.0,1.0,2.0,165000.0
26,49.0,1.0,1.0,2.0,156000.0
27,45.0,1.0,12.0,2.0,153000.0
28,30.0,0.0,1.0,1.0,87500.0
29,34.0,0.0,3.0,1.0,96000.0
30,150.0,2.0,0.0,3.0,205000.0
31,105.0,3.0,30.0,4.0,180000.0
32,150.0,3.0,0.0,4.0,205000.0
33,108.0,2.0,0.0,3.0,240000.0
34,60.0,2.0,30.0,3.0,145000.0
35,90.0,2.0,100.0,3.0,245000.0
36,119.0,3.0,0.0,4.0,260000.0
37,125.0,1.0,50.0,4.0,195000.0
38,0.0,3.0,45.0,4.0,199900.0
39,48.0,1.0,0.0,2.0,147999.0
40,39.0,1.0,0.0,2.0,124999.0
41,39.0,0.0,1.0,1.0,144700.0
42,74.0,2.0,1.0,3.0,199000.0
43,32.0,0.0,0.0,1.0,87000.0
44,89.0,3.0,50.0,4.0,220000.0
45,44.0,2.0,50.0,3.0,79000.0
46,178.0,3.0,38.0,4.0,480000.0
47,35.0,1.0,60.0,2.0,73000.0
48,96.0,2.0,20.0,3.0,350000.0
49,55.0,1.0,0.0,2.0,159000.0
50,64.0,2.0,13.0,3.0,170000.0
51,40.0,1.0,40.0,2.0,85000.0
52,202.0,3.0,37.0,6.0,530000.0
53,95.0,2.0,10.0,3.0,173000.0
54,65.0,2.0,24.0,3.0,116000.0
55,103.0,3.0,0.0,4.0,262000.0
56,86.0,3.0,24.0,4.0,212000.0
57,100.0,3.0,65.0,4.0,175000.0
58,67.0,2.0,45.0,3.0,99000.0
59,137.0,4.0,35.0,5.0,284000.0
60,148.0,3.0,24.0,4.0,339000.0
61,71.0,2.0,0.0,3.0,180000.0
62,46.0,1.0,0.0,2.0,126000.0
63,135.0,3.0,50.0,4.0,355000.0
64,36.0,1.0,40.0,2.0,108000.0
65,64.0,2.0,16.0,3.0,164000.0
66,93.0,3.0,50.0,4.0,220000.0
67,65.0,2.0,7.0,3.0,185000.0
68,41.0,1.0,35.0,2.0,95000.0
69,128.0,3.0,45.0,4.0,290000.0
70,76.0,2.0,60.0,3.0,145000.0
71,72.0,3.0,45.0,4.0,145000.0
72,68.0,1.0,2022.0,2.0,145000.0
73,32.0,0.0,0.0,1.0,80000.0
74,49.0,1.0,0.0,2.0,163999.0
75,44.0,2.0,40.0,3.0,109000.0
76,71.0,3.0,30.0,4.0,159000.0
77,46.0,1.0,0.0,2.0,110000.0
78,157.0,3.0,0.0,4.0,398000.0
79,58.0,2.0,8.0,3.0,150000.0
80,270.0,4.0,30.0,6.0,270000.0
81,66.0,2.0,0.0,0.0,130000.0
82,43.0,1.0,0.0,2.0,100000.0
83,50.0,1.0,7.0,2.0,134500.0
84,45.0,1.0,0.0,2.0,109000.0
85,41.0,1.0,5.0,2.0,115000.0
86,301.0,4.0,20.0,6.0,890000.0
87,61.0,1.0,10.0,2.0,145000.0
88,88.0,2.0,0.0,3.0,239999.0
89,92.0,3.0,35.0,4.0,280000.0
90,133.0,2.0,40.0,3.0,320000.0
91,238.0,3.0,2.0,4.0,575000.0
92,84.0,3.0,44.0,4.0,190000.0
93,83.0,2.0,0.0,3.0,174000.0
94,0.0,2.0,18.0,3.0,195000.0
95,32.0,1.0,50.0,2.0,59000.0
96,90.0,3.0,52.0,4.0,188000.0
97,82.0,3.0,50.0,4.0,250000.0
98,48.0,1.0,10.0,2.0,104000.0
99,95.0,2.0,48.0,3.0,185000.0
100,47.0,1.0,22.0,2.0,126000.0
101,117.0,3.0,5.0,4.0,350000.0
102,62.0,1.0,8.0,3.0,149900.0
103,200.0,3.0,0.0,6.0,375000.0
104,190.0,3.0,0.0,5.0,330000.0
105,170.0,3.0,0.0,4.0,420000.0
106,144.0,3.0,0.0,6.0,169000.0
107,199.0,2.0,0.0,3.0,225000.0
108,111.0,2.0,0.0,3.0,178000.0
109,109.0,3.0,0.0,4.0,188000.0
110,90.0,3.0,0.0,4.0,98000.0
111,62.0,2.0,50.0,3.0,125000.0
112,133.0,3.0,0.0,4.0,285000.0
113,133.0,3.0,0.0,4.0,200000.0
114,115.0,3.0,0.0,4.0,283000.0
115,302.0,4.0,0.0,7.0,400000.0
116,157.0,3.0,0.0,6.0,198000.0
117,280.0,4.0,0.0,5.0,330000.0
118,30.0,1.0,45.0,2.0,55000.0
119,265.0,4.0,0.0,5.0,850000.0
120,53.0,2.0,60.0,3.0,75000.0
121,36.0,1.0,0.0,0.0,135000.0
122,66.0,2.0,12.0,3.0,180000.0
123,128.0,3.0,0.0,4.0,279000.0
124,69.0,2.0,35.0,3.0,175000.0
125,203.0,4.0,0.0,5.0,275000.0
126,215.0,3.0,0.0,4.0,199500.0
127,250.0,3.0,0.0,4.0,299000.0
128,120.0,3.0,0.0,4.0,165000.0
129,200.0,4.0,0.0,5.0,239000.0
130,140.0,3.0,0.0,4.0,169000.0
131,86.0,3.0,0.0,4.0,119000.0
132,95.0,2.0,10.0,3.0,173000.0
133,33.0,0.0,40.0,1.0,59500.0
134,43.0,1.0,5.0,2.0,105000.0
135,44.0,0.0,0.0,1.0,0.0
136,95.0,3.0,50.0,4.0,215000.0
137,46.0,1.0,1.0,2.0,99900.0
138,50.0,2.0,40.0,3.0,79000.0
139,44.0,1.0,40.0,2.0,75000.0
140,180.0,3.0,25.0,5.0,629000.0
141,69.0,1.0,45.0,2.0,125000.0
142,53.0,2.0,45.0,3.0,72000.0
143,160.0,4.0,0.0,5.0,268000.0
144,155.0,4.0,0.0,5.0,295000.0
145,107.0,2.0,0.0,4.0,165000.0
146,137.0,4.0,0.0,5.0,195000.0
147,119.0,3.0,0.0,4.0,250000.0
148,130.0,3.0,10.0,4.0,300000.0
149,132.0,4.0,0.0,5.0,240000.0
150,330.0,3.0,0.0,5.0,650000.0
151,139.0,3.0,0.0,4.0,450000.0
152,80.0,2.0,0.0,3.0,141824.0
153,140.0,4.0,0.0,5.0,200000.0
154,105.0,3.0,0.0,4.0,180000.0
155,297.0,5.0,0.0,6.0,445000.0
156,135.0,2.0,0.0,4.0,250000.0
157,223.0,5.0,0.0,6.0,290000.0
158,147.0,3.0,0.0,4.0,275000.0
159,370.0,5.0,0.0,6.0,580000.0
160,240.0,3.0,0.0,4.0,620000.0
161,141.0,3.0,0.0,4.0,340000.0
162,90.0,2.0,0.0,3.0,219000.0
163,155.0,4.0,0.0,5.0,295000.0
164,97.0,2.0,0.0,3.0,200000.0
165,178.0,3.0,0.0,4.0,328000.0
166,76.0,2.0,0.0,3.0,180000.0
167,105.0,2.0,0.0,3.0,199000.0
168,85.0,3.0,0.0,4.0,186690.0
169,330.0,3.0,0.0,5.0,650000.0
170,114.0,4.0,0.0,5.0,280000.0
171,155.0,3.0,0.0,4.0,249000.0
172,68.0,2.0,40.0,3.0,220000.0
173,253.0,4.0,0.0,5.0,660000.0
174,2.0,1.0,0.0,2.0,135000.0
175,67.0,2.0,20.0,3.0,145000.0
176,48.0,1.0,4.0,2.0,106000.0
177,39.0,1.0,38.0,2.0,62900.0
178,115.0,3.0,40.0,4.0,345000.0
179,73.0,3.0,22.0,4.0,180000.0
180,102.0,3.0,40.0,5.0,222000.0
181,171.0,3.0,0.0,4.0,666800.0
182,58.0,1.0,0.0,2.0,167400.0
183,64.0,2.0,40.0,3.0,109000.0
184,43.0,1.0,0.0,2.0,89200.0
185,26.0,1.0,0.0,1.0,62608.0
186,64.0,2.0,0.0,3.0,125528.0
187,109.0,3.0,0.0,4.0,225000.0
188,101.0,2.0,0.0,3.0,119000.0
189,169.0,5.0,0.0,6.0,260000.0
190,162.0,3.0,0.0,4.0,250000.0
191,0.0,0.0,7.0,1.0,85000.0
192,0.0,1.0,40.0,2.0,74000.0
193,73.0,3.0,50.0,4.0,135000.0
194,55.0,1.0,0.0,2.0,170000.0
195,180.0,4.0,55.0,5.0,440000.0
196,75.0,1.0,0.0,2.0,165000.0
197,44.0,1.0,0.0,2.0,125000.0
198,72.0,3.0,41.0,4.0,165000.0
199,42.0,1.0,0.0,2.0,105000.0
200,28.0,0.0,0.0,1.0,117000.0
201,113.0,3.0,40.0,4.0,180000.0
202,75.0,3.0,40.0,4.0,123000.0
203,55.0,1.0,0.0,2.0,175000.0
204,24.0,0.0,40.0,1.0,38000.0
205,55.0,2.0,45.0,3.0,135000.0
206,63.0,2.0,14.0,3.0,195000.0
207,43.0,1.0,0.0,2.0,102000.0
208,55.0,2.0,40.0,3.0,85000.0
209,62.0,2.0,6.0,4.0,157500.0
210,43.0,1.0,0.0,2.0,109000.0
211,33.0,1.0,45.0,2.0,79000.0
212,102.0,3.0,15.0,5.0,340000.0
213,61.0,2.0,0.0,3.0,149000.0
214,27.0,0.0,40.0,1.0,70000.0
215,40.0,0.0,0.0,1.0,115000.0
216,290.0,6.0,1.0,7.0,400000.0
217,96.0,3.0,0.0,4.0,380000.0
218,76.0,2.0,42.0,3.0,129000.0
219,82.0,2.0,0.0,4.0,230000.0
220,78.0,2.0,10.0,3.0,375000.0
221,110.0,2.0,15.0,3.0,325000.0
222,60.0,2.0,2.0,3.0,110000.0
223,37.0,0.0,0.0,1.0,59000.0
224,42.0,1.0,0.0,2.0,65000.0
225,115.0,2.0,0.0,3.0,310000.0
226,98.0,3.0,3.0,4.0,180000.0
227,61.0,1.0,22.0,2.0,145000.0
228,70.0,3.0,20.0,4.0,159999.0
229,160.0,4.0,70.0,5.0,390000.0
230,54.0,2.0,0.0,3.0,89000.0
231,132.0,2.0,0.0,3.0,158000.0
232,41.0,1.0,0.0,2.0,49200.0
233,118.0,3.0,0.0,4.0,141600.0
234,71.0,2.0,0.0,3.0,85200.0
235,47.0,1.0,0.0,2.0,54050.0
236,45.0,1.0,0.0,2.0,58500.0
237,78.0,2.0,0.0,3.0,109200.0
238,36.0,1.0,0.0,2.0,54600.0
239,78.0,2.0,0.0,3.0,109200.0
240,47.0,1.0,0.0,2.0,66640.0
241,45.0,1.0,0.0,2.0,47250.0
242,46.0,1.0,0.0,2.0,50600.0
243,39.0,1.0,0.0,2.0,40950.0
244,26.0,0.0,0.0,1.0,28600.0
245,42.0,1.0,0.0,2.0,46200.0
246,114.0,3.0,70.0,0.0,97000.0
247,51.0,1.0,50.0,2.0,110000.0
248,50.0,2.0,60.0,3.0,130000.0
249,203.0,4.0,37.0,9.0,298000.0
250,42.0,1.0,7.0,2.0,54000.0
251,85.0,3.0,55.0,4.0,139000.0
252,74.0,2.0,0.0,3.0,179500.0
253,76.0,3.0,60.0,1.0,65000.0
254,134.0,3.0,0.0,4.0,145000.0
255,40.0,1.0,5.0,2.0,52000.0
256,156.0,3.0,75.0,5.0,450000.0
257,50.0,2.0,60.0,3.0,100000.0
258,152.0,2.0,0.0,4.0,445000.0
259,40.0,0.0,30.0,0.0,85000.0
260,55.0,2.0,50.0,3.0,105000.0
261,36.0,3.0,40.0,4.0,290000.0
262,185.0,2.0,0.0,3.0,180000.0
263,40.0,1.0,0.0,2.0,125000.0
264,167.0,3.0,9.0,5.0,600000.0
265,50.0,1.0,0.0,2.0,83400.0
266,39.0,0.0,0.0,1.0,61700.0
267,67.0,2.0,0.0,33.0,118100.0
268,85.0,2.0,35.0,4.0,199000.0
269,98.0,3.0,0.0,4.0,260000.0
270,41.0,2.0,15.0,3.0,120000.0
271,82.0,2.0,1.0,3.0,190000.0
272,29.0,0.0,45.0,1.0,59900.0
273,175.0,3.0,52.0,6.0,430000.0
274,105.0,2.0,0.0,4.0,165000.0
275,108.0,3.0,0.0,4.0,210000.0
276,86.0,2.0,0.0,3.0,220000.0
277,70.0,2.0,7.0,3.0,185000.0
278,313.0,4.0,0.0,5.0,390000.0
279,125.0,3.0,0.0,5.0,292000.0
280,92.0,2.0,0.0,3.0,198000.0
281,71.0,2.0,60.0,3.0,149000.0
282,77.0,2.0,40.0,3.0,124900.0
283,50.0,2.0,35.0,3.0,100000.0
284,91.0,3.0,0.0,4.0,330000.0
285,46.0,1.0,40.0,2.0,109000.0
286,110.0,3.0,7.0,4.0,268000.0
287,143.0,3.0,0.0,4.0,235000.0
288,180.0,3.0,0.0,4.0,260000.0
289,184.0,4.0,0.0,5.0,320000.0
290,221.0,4.0,0.0,5.0,380000.0
291,42.0,1.0,10.0,2.0,128000.0
292,47.0,1.0,0.0,2.0,199000.0
293,40.0,1.0,0.0,2.0,105000.0
294,0.0,0.0,0.0,0.0,49000.0
295,52.0,1.0,0.0,2.0,115000.0
296,87.0,3.0,0.0,4.0,225000.0
297,85.0,3.0,0.0,4.0,209000.0
298,59.0,2.0,0.0,3.0,258000.0
299,0.0,1.0,50.0,2.0,85000.0
300,109.0,2.0,0.0,3.0,226400.0
301,39.0,1.0,0.0,2.0,105000.0
302,260.0,4.0,0.0,5.0,580000.0
303,62.0,1.0,0.0,2.0,110000.0
304,40.0,1.0,66.0,2.0,74000.0
305,66.0,2.0,20.0,3.0,159000.0
306,0.0,2.0,0.0,3.0,100000.0
307,38.0,1.0,0.0,2.0,63000.0
308,26.0,0.0,20.0,1.0,28000.0
309,34.0,0.0,0.0,1.0,62000.0
310,35.0,1.0,2.0,2.0,59700.0
311,70.0,2.0,0.0,3.0,209000.0
312,55.0,1.0,0.0,2.0,57750.0
313,83.0,3.0,40.0,4.0,159000.0
314,120.0,3.0,22.0,4.0,330000.0
315,63.0,1.0,0.0,2.0,192000.0
316,115.0,3.0,0.0,4.0,700000.0
317,226.0,4.0,0.0,5.0,330000.0
318,207.0,3.0,0.0,5.0,200000.0
319,50.0,1.0,18.0,2.0,159000.0
320,58.0,1.0,0.0,2.0,160000.0
321,96.0,2.0,50.0,3.0,218000.0
322,102.0,3.0,30.0,4.0,445000.0
323,38.0,1.0,14.0,2.0,95000.0
324,165.0,3.0,0.0,4.0,750000.0
325,29.0,0.0,0.0,1.0,71526.0
326,56.0,2.0,25.0,3.0,120000.0
327,170.0,3.0,0.0,4.0,660000.0
328,93.0,3.0,7.0,4.0,295000.0
329,67.0,2.0,10.0,3.0,189000.0
330,57.0,1.0,10.0,2.0,129000.0
331,94.0,2.0,6.0,4.0,190000.0
332,174.0,3.0,0.0,4.0,495000.0
333,85.0,3.0,47.0,4.0,169900.0
334,54.0,2.0,0.0,3.0,79000.0
335,50.0,2.0,40.0,3.0,74500.0
336,64.0,2.0,2.0,3.0,123000.0
337,70.0,2.0,1.0,3.0,169000.0
338,45.0,1.0,0.0,2.0,73500.0
339,40.0,1.0,45.0,2.0,73000.0
340,69.0,2.0,0.0,3.0,242000.0
341,50.0,1.0,0.0,2.0,87000.0
342,69.0,2.0,40.0,3.0,149000.0
343,46.0,2.0,50.0,3.0,120000.0
344,46.0,1.0,30.0,2.0,85000.0
345,186.0,3.0,30.0,4.0,500000.0
346,191.0,4.0,25.0,5.0,680000.0
347,50.0,1.0,2.0,2.0,79500.0
348,56.0,2.0,12.0,3.0,175000.0
349,32.0,1.0,50.0,2.0,39800.0
350,43.0,1.0,9.0,2.0,107000.0
351,41.0,1.0,5.0,2.0,120000.0
352,57.0,2.0,0.0,3.0,130000.0
353,55.0,1.0,0.0,2.0,45000.0
354,51.0,2.0,40.0,3.0,95000.0
355,53.0,1.0,4.0,2.0,115000.0
356,100.0,2.0,0.0,3.0,260000.0
357,28.0,0.0,0.0,1.0,62000.0
358,41.0,1.0,40.0,2.0,85000.0
359,77.0,3.0,0.0,4.0,188000.0
360,79.0,3.0,40.0,4.0,159000.0
361,45.0,1.0,0.0,2.0,105000.0
362,76.0,0.0,0.0,3.0,189000.0
363,85.0,2.0,0.0,3.0,150000.0
364,40.0,1.0,0.0,2.0,56000.0
365,170.0,3.0,0.0,4.0,235000.0
366,32.0,1.0,0.0,1.0,88000.0
367,45.0,1.0,0.0,2.0,119900.0
368,71.0,2.0,12.0,3.0,206000.0
369,0.0,0.0,0.0,1.0,45000.0
370,45.0,1.0,0.0,2.0,66900.0
371,66.0,4.0,20.0,5.0,85000.0
372,543.0,3.0,0.0,4.0,1350000.0
373,155.0,3.0,0.0,5.0,350000.0
374,106.0,3.0,0.0,4.0,140000.0
375,52.0,1.0,0.0,2.0,66600.0
376,39.0,1.0,0.0,2.0,55700.0
377,44.0,1.0,0.0,2.0,81900.0
378,65.0,2.0,0.0,3.0,90800.0
379,39.0,1.0,0.0,2.0,88000.0
380,58.0,2.0,50.0,3.0,0.0
381,100.0,3.0,0.0,4.0,210000.0
382,96.0,3.0,50.0,4.0,205000.0
383,54.0,2.0,25.0,3.0,115000.0
384,130.0,3.0,25.0,4.0,330000.0
385,788.0,5.0,0.0,6.0,1350000.0
386,36.0,1.0,41.0,2.0,60000.0
387,79.0,2.0,15.0,3.0,195000.0
388,160.0,4.0,0.0,4.0,460000.0
389,500.0,4.0,0.0,7.0,580000.0
390,90.0,2.0,0.0,3.0,328000.0
391,381.0,4.0,0.0,6.0,850000.0
392,337.0,3.0,0.0,0.0,550000.0
393,165.0,3.0,0.0,4.0,213000.0
394,397.0,4.0,0.0,7.0,695000.0
395,200.0,4.0,0.0,4.0,690000.0
396,0.0,1.0,0.0,2.0,110000.0
397,235.0,4.0,0.0,6.0,380000.0
398,72.0,2.0,50.0,3.0,109000.0
399,259.0,4.0,0.0,5.0,485000.0
400,146.0,4.0,0.0,5.0,239000.0
401,250.0,3.0,0.0,5.0,519000.0
402,369.0,5.0,0.0,6.0,570000.0
403,53.0,1.0,0.0,2.0,168000.0
404,53.0,1.0,0.0,2.0,132400.0
405,60.0,2.0,48.0,3.0,125000.0
406,164.0,3.0,0.0,4.0,470000.0
407,190.0,3.0,0.0,5.0,368000.0
408,62.0,2.0,1.0,3.0,91000.0
409,110.0,3.0,0.0,4.0,395000.0
410,40.0,0.0,0.0,1.0,110000.0
411,39.0,1.0,0.0,2.0,105000.0
412,123.0,3.0,40.0,5.0,359000.0
413,200.0,3.0,0.0,5.0,229000.0
414,125.0,2.0,0.0,3.0,165000.0
415,218.0,3.0,0.0,4.0,375000.0
416,0.0,4.0,0.0,0.0,189000.0
417,0.0,0.0,0.0,0.0,190000.0
418,25.0,0.0,0.0,1.0,65000.0
419,410.0,4.0,0.0,5.0,600000.0
420,110.0,3.0,50.0,4.0,185000.0
421,74.0,2.0,60.0,3.0,112000.0
422,53.0,2.0,63.0,3.0,89900.0
423,123.0,3.0,51.0,4.0,200000.0
424,41.0,1.0,6.0,2.0,109000.0
425,145.0,3.0,0.0,4.0,150000.0
426,160.0,3.0,0.0,4.0,110000.0
427,102.0,3.0,0.0,4.0,205000.0
428,43.0,1.0,0.0,2.0,45000.0
429,73.0,2.0,0.0,3.0,145000.0
430,84.0,3.0,0.0,4.0,300000.0
431,50.0,1.0,4.0,2.0,119000.0
432,30.0,1.0,0.0,2.0,188797.0
433,75.0,2.0,0.0,3.0,255000.0
434,140.0,2.0,0.0,3.0,300000.0
435,160.0,2.0,0.0,4.0,200000.0
436,157.0,5.0,93.0,6.0,165000.0
437,68.0,2.0,7.0,3.0,149900.0
438,34.0,0.0,50.0,1.0,59000.0
439,138.0,3.0,0.0,4.0,165000.0
440,208.0,4.0,20.0,5.0,640000.0
441,125.0,3.0,0.0,4.0,165000.0
442,61.0,3.0,53.0,4.0,105000.0
443,52.0,2.0,0.0,3.0,195000.0
