Quantity,UnitPrice,Country
1440,0.16,EIRE
120,0.42,Belgium
120,0.42,Belgium
120,0.42,Belgium
120,0.36,Australia
1488,2.55,Japan
120,0.42,Denmark
120,1.69,France
240,4.95,Sweden
120,0.42,Finland
120,0.42,Finland
144,0.29,Finland
144,0.29,Finland
120,0.42,Finland
120,0.42,Finland
576,0.29,Sweden
240,0.55,Sweden
240,0.55,Sweden
240,0.55,Sweden
240,0.55,Sweden
240,0.55,Sweden
144,1.45,Sweden
288,1.45,Sweden
192,0.42,Sweden
192,0.42,Sweden
144,0.42,Sweden
192,0.65,Sweden
288,0.85,Sweden
144,1.25,Sweden
144,0.85,Sweden
120,0.42,Sweden
192,0.19,France
240,0.42,Netherlands
108,1.45,Netherlands
192,1.25,Netherlands
192,1.25,Netherlands
108,1.45,Netherlands
288,1.06,Netherlands
120,0.42,Netherlands
120,2.1,Netherlands
120,0.42,Netherlands
288,1.45,Netherlands
144,1.25,Netherlands
192,0.65,Netherlands
192,0.65,Netherlands
216,0.21,Netherlands
300,0.85,Netherlands
216,0.21,Netherlands
216,0.21,Netherlands
216,0.21,Netherlands
240,0.42,Netherlands
192,1.45,Netherlands
192,2.55,Netherlands
128,1.65,Netherlands
200,1.45,Netherlands
200,0.72,Netherlands
200,1.45,Netherlands
120,1.85,Australia
120,1.45,Australia
120,1.45,Australia
144,1.45,Australia
192,0.72,Australia
120,0.37,Australia
144,0.72,Australia
240,1.06,Australia
240,1.06,Australia
576,0.55,Australia
144,1.06,Australia
160,1.06,Australia
240,4.25,Australia
168,3.45,Australia
144,0.19,France
144,1.06,Germany
120,0.42,France
144,3.39,Spain
360,3.39,Spain
360,3.39,Spain
144,3.39,Spain
576,1.45,France
144,0.36,Belgium
288,1.45,Netherlands
288,0.36,Netherlands
144,0.72,Netherlands
192,1.25,Netherlands
144,0.29,Netherlands
144,0.36,Netherlands
144,0.36,Netherlands
120,0.42,Netherlands
120,0.42,Netherlands
120,0.42,Netherlands
240,0.42,Netherlands
120,0.42,Netherlands
144,1.85,Netherlands
144,1.45,Netherlands
192,0.64,Netherlands
288,1.06,Netherlands
200,0.72,Netherlands
108,1.06,Netherlands
144,2.55,Netherlands
128,1.65,Netherlands
144,1.25,Netherlands
288,1.45,Netherlands
192,1.45,Netherlands
288,1.45,Netherlands
120,4.25,EIRE
120,2.55,EIRE
120,2.55,EIRE
120,2.55,EIRE
144,1.06,EIRE
176,1.25,EIRE
384,0.64,EIRE
144,2.1,EIRE
144,2.1,EIRE
120,2.55,EIRE
240,2.55,EIRE
240,2.55,EIRE
216,2.1,EIRE
288,0.64,EIRE
192,3.45,EIRE
288,1.25,EIRE
144,4.25,EIRE
120,2.55,EIRE
160,10.95,EIRE
160,4.25,EIRE
288,2.55,EIRE
144,6.95,EIRE
180,3.75,EIRE
144,2.55,EIRE
192,1.45,EIRE
192,1.45,EIRE
192,1.65,EIRE
192,1.65,EIRE
200,1.45,EIRE
120,0.42,Portugal
120,0.42,Portugal
120,0.85,Switzerland
288,1.06,Netherlands
120,0.42,Netherlands
120,0.42,Netherlands
1440,0.42,Netherlands
256,2.55,Netherlands
192,1.45,Netherlands
192,1.65,Netherlands
192,0.72,Netherlands
200,1.65,Netherlands
192,1.06,Netherlands
144,1.06,Netherlands
192,2.55,Netherlands
384,1.65,Netherlands
384,1.65,Netherlands
384,1.45,Netherlands
144,0.36,Netherlands
144,1.06,Netherlands
144,1.06,Netherlands
192,0.64,EIRE
144,1.06,EIRE
120,1.25,EIRE
144,1.06,EIRE
144,1.85,EIRE
288,0.36,Netherlands
288,0.36,Netherlands
144,1.85,Netherlands
120,0.42,Netherlands
120,0.42,Netherlands
120,0.42,Netherlands
108,1.06,Netherlands
144,0.36,Netherlands
120,0.42,Netherlands
108,2.1,Netherlands
144,0.29,Finland
144,0.29,Finland
144,0.29,Finland
144,0.29,Finland
192,0.42,Sweden
144,1.25,Sweden
144,1.25,Sweden
240,0.42,Sweden
240,0.42,Sweden
240,0.42,Sweden
144,1.25,Sweden
192,0.42,Sweden
144,0.42,Sweden
576,0.65,Sweden
108,0.65,France
160,1.45,France
120,0.85,France
144,0.36,Netherlands
288,1.06,Netherlands
120,0.42,Netherlands
144,1.25,Japan
108,1.45,Japan
108,1.45,Japan
108,0.65,France
120,3.25,Germany
200,0.34,Australia
200,0.34,Australia
200,2.75,Australia
480,1.25,Australia
384,0.72,Australia
240,0.72,Australia
200,1.45,Australia
288,0.72,Australia
256,1.65,Australia
200,1.45,Australia
144,0.36,Australia
240,0.36,Australia
192,1.65,Australia
120,0.42,Australia
128,1.65,Australia
144,0.36,Australia
192,0.72,Australia
216,0.53,Australia
288,0.64,Australia
192,1.25,Australia
120,0.42,Australia
192,1.45,Australia
144,1.45,Australia
120,4.25,Australia
144,1.45,Australia
384,0.55,Australia
144,0.72,Australia
120,0.42,Australia
407,0.65,Channel Islands
144,1.06,EIRE
144,1.85,EIRE
300,0.34,EIRE
300,0.34,EIRE
200,0.34,EIRE
288,0.55,Cyprus
288,1.06,Germany
120,1.85,Netherlands
120,0.42,Netherlands
288,1.06,Netherlands
216,1.65,Netherlands
144,0.72,Netherlands
192,2.55,Netherlands
288,1.06,Netherlands
128,1.65,Netherlands
144,0.72,Netherlands
128,1.06,Netherlands
200,2.75,Netherlands
360,0.64,Netherlands
120,1.06,Netherlands
128,3.75,Netherlands
108,3.39,Netherlands
120,1.06,Netherlands
288,1.25,Netherlands
144,0.79,Netherlands
120,0.42,Netherlands
120,0.42,Netherlands
144,1.85,Netherlands
288,1.45,Netherlands
288,0.72,Netherlands
384,1.65,Netherlands
144,1.45,Netherlands
200,1.65,Netherlands
200,0.72,Netherlands
192,0.64,Netherlands
216,0.53,Netherlands
192,0.72,Netherlands
200,0.72,Netherlands
144,0.85,Netherlands
144,1.65,Netherlands
192,1.25,Netherlands
144,1.06,Netherlands
144,1.25,Netherlands
144,1.65,Germany
144,0.65,Germany
120,0.42,Netherlands
144,0.36,Netherlands
120,0.42,Netherlands
128,1.65,Netherlands
144,0.36,Netherlands
144,1.25,Netherlands
400,0.72,EIRE
200,1.06,Germany
144,1.45,Australia
117,2.55,EIRE
192,1.65,EIRE
120,2.55,EIRE
144,1.45,Australia
144,1.06,Australia
240,0.36,Australia
256,1.65,Australia
200,0.34,Australia
216,0.53,Australia
120,4.25,Australia
120,8.95,Australia
120,3.25,Australia
144,1.06,Australia
120,3.75,Australia
288,1.25,Australia
144,0.36,Australia
144,0.36,Australia
144,0.36,Australia
144,0.36,Australia
200,0.34,Australia
128,1.65,Australia
432,0.25,Australia
288,1.45,Australia
192,1.45,Australia
192,1.45,Australia
432,0.25,Australia
432,0.25,Australia
200,0.34,Australia
320,1.65,Australia
240,0.36,Australia
240,0.36,Australia
240,1.06,Australia
240,1.06,Australia
144,3.39,Australia
144,3.39,Australia
160,1.06,Australia
144,1.06,Australia
144,0.36,Australia
144,1.06,Australia
144,1.06,Germany
108,1.45,Switzerland
144,0.72,Switzerland
144,0.85,Sweden
240,0.42,EIRE
240,0.42,EIRE
144,1.85,EIRE
144,1.85,EIRE
144,1.45,EIRE
240,0.42,EIRE
144,0.72,EIRE
144,0.36,EIRE
240,0.42,EIRE
240,0.42,EIRE
288,0.21,Cyprus
288,0.21,Cyprus
216,2.1,EIRE
108,0.21,Netherlands
384,0.65,Sweden
768,0.65,Sweden
240,0.55,Sweden
240,0.55,Sweden
240,0.55,Sweden
480,0.55,Sweden
480,0.55,Sweden
144,1.45,Sweden
144,1.45,Sweden
144,1.45,Sweden
576,0.65,Sweden
192,0.42,Sweden
192,0.42,Sweden
240,0.42,Sweden
144,1.25,Sweden
144,2.1,Denmark
144,1.06,Denmark
108,0.21,EIRE
144,1.06,Germany
144,2.1,Austria
144,2.1,Austria
240,0.36,Austria
288,0.36,Austria
120,1.85,Germany
120,1.85,Germany
120,1.85,Germany
120,1.85,Germany
150,1.45,Spain
150,1.45,Spain
150,1.45,Spain
144,0.36,Netherlands
120,1.85,Netherlands
120,1.85,Netherlands
120,1.85,Netherlands
120,1.85,Netherlands
200,0.72,Netherlands
200,0.72,Netherlands
240,0.42,Netherlands
240,0.42,Netherlands
180,2.1,Netherlands
120,0.42,Netherlands
240,0.42,Netherlands
216,0.36,Netherlands
192,0.72,Netherlands
288,1.06,Netherlands
144,2.55,Netherlands
144,2.55,Netherlands
120,2.1,Netherlands
200,1.45,Netherlands
108,1.06,Netherlands
240,0.42,Netherlands
192,1.45,Netherlands
192,0.72,Netherlands
640,1.65,Netherlands
640,1.65,Netherlands
128,1.65,Netherlands
200,1.45,Netherlands
200,1.65,Netherlands
144,0.36,Netherlands
144,0.36,Netherlands
240,0.42,Netherlands
144,1.85,Netherlands
144,1.85,Netherlands
144,1.06,Netherlands
144,1.65,Netherlands
144,1.06,Netherlands
144,1.06,Netherlands
144,1.25,Netherlands
240,0.42,Netherlands
200,1.65,Netherlands
120,0.42,Netherlands
144,1.65,Netherlands
120,1.85,Netherlands
144,1.25,Netherlands
144,1.25,Netherlands
144,0.65,France
160,1.45,France
120,0.29,France
200,1.79,France
200,1.79,France
108,0.65,France
120,0.85,France
144,1.85,EIRE
144,1.85,EIRE
144,1.85,EIRE
144,1.45,EIRE
144,1.85,EIRE
200,1.65,Netherlands
120,1.25,Japan
240,1.04,Iceland
576,0.21,Japan
576,0.55,Japan
480,0.36,Japan
480,0.36,Japan
480,0.36,Japan
480,0.36,Japan
576,0.36,Japan
576,0.36,Japan
576,0.36,Japan
576,0.36,Japan
288,1.45,Japan
576,0.36,Japan
192,0.72,Germany
288,0.36,Germany
504,1.06,Canada
144,0.36,EIRE
240,0.42,EIRE
240,0.42,EIRE
144,1.45,EIRE
144,1.85,EIRE
144,2.55,EIRE
120,0.72,France
120,0.72,France
120,0.72,France
120,1.79,France
120,1.69,France
120,0.83,Germany
288,0.36,Netherlands
144,2.55,Netherlands
256,1.65,Netherlands
480,0.42,Netherlands
192,0.39,Netherlands
216,0.19,Netherlands
288,0.72,Netherlands
200,1.45,Netherlands
144,0.72,Netherlands
200,0.72,Netherlands
288,1.06,Netherlands
216,1.45,Netherlands
240,2.55,Netherlands
120,0.42,Netherlands
120,2.1,Netherlands
144,0.72,Netherlands
1200,0.42,Netherlands
288,0.72,Netherlands
216,0.36,Netherlands
160,1.45,Netherlands
144,0.36,Netherlands
288,1.06,Netherlands
120,1.45,Netherlands
432,0.36,Netherlands
144,0.64,Netherlands
144,0.79,Netherlands
216,1.45,Netherlands
192,1.45,Netherlands
144,0.39,Netherlands
200,1.45,Netherlands
192,1.45,Netherlands
320,1.65,Netherlands
144,1.06,Netherlands
120,0.42,Netherlands
240,0.55,Sweden
144,1.45,Sweden
288,1.25,Sweden
576,0.29,Sweden
120,2.08,Sweden
120,2.08,Sweden
432,0.42,Sweden
576,0.65,Sweden
144,1.95,Sweden
600,0.65,Germany
144,0.55,EIRE
200,0.34,EIRE
200,0.34,EIRE
144,2.55,Australia
288,1.95,Australia
144,3.39,Australia
144,1.95,Australia
144,1.95,Australia
144,1.95,Australia
108,1.25,Australia
240,0.19,Australia
144,1.06,Australia
240,0.39,Australia
144,1.65,Australia
144,1.65,Australia
192,1.65,Australia
144,1.25,Australia
144,1.06,Australia
576,0.53,Australia
576,0.53,Australia
576,0.53,Australia
600,0.72,Australia
144,1.25,Australia
144,1.45,Australia
120,0.55,Australia
120,0.55,Australia
120,0.55,Australia
120,0.55,Australia
120,0.55,Australia
120,0.55,Australia
144,1.45,Australia
144,1.06,Australia
320,1.25,Australia
144,3.39,Australia
144,1.45,Netherlands
216,0.36,Australia
960,1.45,Netherlands
144,1.45,Netherlands
108,1.06,Netherlands
120,0.42,Netherlands
160,1.45,Netherlands
144,1.85,Netherlands
300,0.72,Netherlands
240,2.08,Netherlands
250,2.55,Netherlands
180,2.1,Netherlands
128,3.75,Netherlands
200,0.72,Netherlands
200,1.45,Netherlands
200,1.45,Netherlands
144,1.65,Netherlands
144,0.36,France
144,1.45,Netherlands
200,0.72,Netherlands
200,1.79,Netherlands
192,1.65,Netherlands
240,2.55,Netherlands
320,1.65,Netherlands
320,1.65,Netherlands
200,1.79,France
144,1.65,France
120,0.64,EIRE
192,0.36,EIRE
144,1.06,EIRE
192,0.72,EIRE
108,0.65,Belgium
120,0.42,Switzerland
120,0.42,Switzerland
120,0.42,Switzerland
360,0.19,France
216,0.19,France
120,0.65,France
144,1.45,Australia
144,1.45,Australia
192,3.75,Australia
240,4.15,Australia
144,1.25,Australia
240,0.42,Australia
120,0.42,Australia
120,0.42,Australia
144,2.49,Australia
144,1.85,Australia
144,1.85,Australia
240,4.15,Australia
240,0.42,Australia
144,1.25,Australia
120,1.85,Australia
120,1.85,Australia
240,1.79,Australia
120,1.25,Australia
240,0.29,Australia
120,1.65,Australia
144,0.72,Australia
144,3.75,Australia
120,0.42,Australia
120,0.65,Australia
144,0.42,Australia
288,0.42,Australia
576,0.55,Australia
128,1.06,Australia
144,0.36,Australia
128,1.65,Australia
192,1.25,Australia
288,1.06,Australia
240,0.42,Australia
200,0.34,Australia
128,1.65,Australia
144,0.36,Australia
200,0.34,Australia
400,0.34,Australia
200,0.34,Australia
400,0.34,Australia
120,0.42,Australia
200,0.34,Australia
120,0.42,Australia
240,0.36,Australia
240,0.36,Australia
240,1.06,Australia
144,3.39,Australia
144,0.63,Australia
192,3.39,Australia
120,0.42,EIRE
120,0.42,EIRE
240,1.45,EIRE
120,0.42,EIRE
240,1.85,EIRE
144,0.65,EIRE
128,1.06,EIRE
144,1.85,EIRE
144,1.85,EIRE
150,0.55,EIRE
120,0.42,EIRE
144,1.45,EIRE
144,1.45,EIRE
300,0.83,Germany
160,1.45,France
120,0.42,Netherlands
120,0.42,Netherlands
120,0.42,Netherlands
120,0.42,Netherlands
120,0.42,Netherlands
192,2.55,Netherlands
288,1.06,Netherlands
144,1.45,Netherlands
144,0.36,Netherlands
200,1.06,Netherlands
288,0.21,Canada
288,0.21,Germany
240,0.06,France
288,1.79,Japan
576,0.72,Japan
432,0.36,Japan
576,0.36,Japan
288,0.85,Japan
108,0.65,France
200,1.79,Netherlands
200,1.79,Netherlands
200,1.79,Netherlands
288,1.06,Netherlands
288,0.72,Netherlands
240,0.42,Netherlands
120,0.42,Netherlands
144,0.72,Netherlands
288,0.72,Netherlands
144,1.05,Netherlands
144,0.53,Netherlands
144,0.72,Netherlands
288,0.36,Netherlands
144,0.72,Netherlands
300,0.72,Netherlands
300,0.72,Netherlands
200,0.72,Netherlands
300,0.72,Netherlands
120,0.42,Netherlands
192,1.45,Netherlands
240,0.42,Netherlands
192,0.72,Netherlands
144,0.55,Netherlands
144,1.06,Netherlands
144,1.05,Netherlands
144,1.45,Netherlands
200,1.45,Netherlands
300,1.45,Netherlands
144,1.25,Netherlands
120,0.42,Netherlands
144,0.72,Netherlands
144,0.79,Netherlands
144,0.64,Netherlands
144,2.55,Netherlands
