Fecha,Concepto,monto
1/01/2023,viveres,"4,18"
2/01/2023,viveres,"3,36"
2/01/2023,viveres,"9,86"
2/01/2023,comida,"5,5"
3/01/2023,viveres,"13,75"
4/01/2023,compra,"25,1"
4/01/2023,comida,"18,44"
4/01/2023,viveres,"13,52"
4/01/2023,viveres,"7,12"
5/01/2023,viveres,"2,7"
5/01/2023,compra,"13,5"
5/01/2023,pago,650
5/01/2023,viveres,"1,55"
9/01/2023,viveres,"45,33"
10/01/2023,viveres,"23,62"
10/01/2023,viveres,"6,68"
10/01/2023,comida,"2,9"
11/01/2023,compra,"7,05"
11/01/2023,viveres,"2,31"
12/01/2023,compra,"9,9"
12/01/2023,viveres,"73,76"
12/01/2023,transporte,"12,8"
13/01/2023,viveres,"11,41"
13/01/2023,compra,45
13/01/2023,viveres,"7,6"
13/01/2023,viveres,35
13/01/2023,pago,"2,42"
14/01/2023,viveres,"22,99"
15/01/2023,viveres,"6,68"
15/01/2023,compra,"7,95"
15/01/2023,compra,"2,99"
16/01/2023,viveres,"7,95"
16/01/2023,comida,"1,7"
16/01/2023,pago,75
17/01/2023,comida,"1,01"
17/01/2023,viveres,"13,98"
18/01/2023,viveres,"3,22"
18/01/2023,viveres,"18,2"
18/01/2023,comida,"1,01"
20/01/2023,viveres,"2,5"
20/01/2023,comida,"4,26"
20/01/2023,viveres ,"13,14"
20/01/2023,viveres,"2,5"
20/01/2023,transporte,"3,4"
20/01/2023,comida,"12,21"
21/01/2023,viveres ,"2,4"
21/01/2023,comida,"6,56"
22/01/2023,comida,"4,1"
22/01/2023,ocio,"8,1"
22/01/2023,ocio,"8,1"
22/01/2023,transporte,"31,8"
22/01/2023,ocio,21
22/01/2023,viveres,"22,7"
23/01/2023,pago,2
23/01/2023,comida,"1,46"
24/01/2023,comida,"11,72"
24/01/2023,viveres,"7,24"
25/01/2023,compra,"4,3"
25/01/2023,viveres ,"6,25"
25/01/2023,compra,10
26/01/2023,viveres ,"0,88"
27/01/2023,viveres ,"8,05"
27/01/2023,comida,"1,01"
27/01/2023,viveres,"2,48"
27/01/2023,viveres,"8,05"
28/01/2023,viveres,"3,61"
29/01/2023,viveres,"0,72"
30/01/2023,comida,1
30/01/2023,viveres,"0,58"
30/01/2023,viveres,"0,4"
,,"1407,27"